ticker,name,buy_date,sell_date,hold_days,quantity,buy_price,sell_price,net_pnl,gross_return,buy_conclusion_label,buy_watching_action,buy_holding_action,buy_structure_score,buy_risk_score,buy_p_continue_10d,buy_p_fail_5d,buy_breakout_quality,buy_volume_state,buy_relative_strength_label,buy_rank_score,buy_target_weight,sell_conclusion_label,sell_watching_action,sell_holding_action,sell_structure_score,sell_risk_score,sell_p_continue_10d,sell_p_fail_5d,sell_breakout_quality,sell_volume_state,sell_relative_strength_label,sell_rank_score,sell_target_weight,is_loss,buy_full_positive,buy_strong_positive,sell_still_positive,sell_became_defensive,mismatch_type
600588.SH,用友网络,2026-01-15,2026-01-16,1,200,17.45,16.03,-284.0,-0.0814,high_quality_continuation,buy_on_pullback,hold_above_support,100,70,0.6643,0.2453,suspicious,expand,显著强于基准,96.43,0.0,defense_first,stand_aside,exit_on_invalidation,100,81,0.64,0.2517,invalid,neutral,显著强于基准,83.0,0.0,True,True,True,False,True,buy_looked_good_then_broke
601106.SH,中国一重,2026-01-15,2026-01-19,4,600,5.95,5.12,-498.0,-0.1395,defense_first,stand_aside,exit_on_invalidation,100,82,0.5453,0.3257,invalid,contract,显著强于基准,72.53,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,74,0.8495,0.2158,suspicious,contract,与基准大体同步,110.95,0.0,True,False,False,True,False,other
601872.SH,招商轮船,2026-01-16,2026-01-19,3,300,11.17,11.4,69.0,0.0206,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,71,0.6527,0.322,suspicious,neutral,显著强于基准,94.27,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,71,0.6572,0.3456,suspicious,neutral,显著强于基准,94.72,0.0,False,True,False,True,False,other
000338.SZ,潍柴动力,2026-01-19,2026-01-21,2,100,22.6,22.52,-8.0,-0.0035,defense_first,stand_aside,exit_on_invalidation,100,66,0.5291,0.3278,suspicious,expand,显著强于基准,86.91,0.0,defense_first,stand_aside,exit_on_invalidation,100,69,0.5267,0.333,suspicious,neutral,显著强于基准,83.67,0.0,True,False,False,False,True,other
601179.SH,中国西电,2026-01-20,2026-01-22,2,200,15.51,15.37,-28.0,-0.009,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,73,0.5567,0.348,suspicious,expand,显著强于基准,82.67,0.0,defense_first,stand_aside,exit_on_invalidation,100,74,0.553,0.3599,invalid,neutral,显著强于基准,81.3,0.0,True,True,False,False,True,buy_looked_good_then_broke
002131.SZ,利欧股份,2026-01-15,2026-01-23,8,300,10.26,8.41,-555.0,-0.1803,high_quality_continuation,buy_on_pullback,hold_above_support,100,66,0.6651,0.2968,valid,expand,显著强于基准,100.51,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,72,0.8913,0.2422,valid,expand,与基准大体同步,117.13,0.0,True,True,True,True,False,system_stayed_positive_but_loss
000975.SZ,山金国际,2026-01-22,2026-01-23,1,100,34.03,34.46,43.0,0.0126,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,60,0.5784,0.227,valid,neutral,显著强于基准,97.84,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,60,0.595,0.2209,valid,neutral,显著强于基准,99.5,0.0,False,True,False,True,False,other
002064.SZ,华峰化学,2026-01-23,2026-01-26,3,200,12.52,12.5,-4.0,-0.0016,high_quality_continuation,buy_on_pullback,hold_above_support,100,66,0.8576,0.27,valid,expand,显著强于基准,119.76,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,66,0.8094,0.2739,suspicious,neutral,与基准大体同步,114.94,0.0,True,True,True,True,False,system_stayed_positive_but_loss
600176.SH,中国巨石,2026-01-22,2026-01-26,4,100,21.2,20.62,-58.0,-0.0274,high_quality_continuation,buy_on_pullback,hold_above_support,100,62,0.6699,0.2378,valid,expand,显著强于基准,104.99,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,63,0.6605,0.2331,suspicious,contract,显著强于基准,103.05,0.2,True,True,True,True,False,system_stayed_positive_but_loss
600219.SH,南山铝业,2026-01-21,2026-02-02,12,500,6.52,6.61,45.0,0.0138,high_quality_continuation,buy_on_pullback,hold_above_support,100,62,0.8404,0.2712,suspicious,contract,显著强于基准,122.04,0.2,defense_first,stand_aside,exit_on_invalidation,56,87,0.2694,0.38,suspicious,expand,与基准大体同步,-4.06,0.0,False,True,True,False,True,other
000630.SZ,铜陵有色,2026-01-30,2026-02-03,4,400,8.28,7.86,-168.0,-0.0507,high_quality_continuation,buy_on_pullback,hold_above_support,100,69,0.6574,0.1966,suspicious,neutral,显著强于基准,96.74,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,73,0.8551,0.247,valid,expand,显著强于基准,112.51,0.0,True,True,True,True,False,system_stayed_positive_but_loss
600352.SH,浙江龙盛,2026-01-30,2026-02-03,4,200,15.22,14.46,-152.0,-0.0499,high_quality_continuation,buy_on_pullback,hold_above_support,100,58,0.9551,0.1787,valid,expand,显著强于基准,137.51,0.2,high_quality_continuation,buy_on_pullback,hold_above_support,100,71,0.8861,0.218,suspicious,neutral,显著强于基准,117.61,0.0,True,True,True,True,False,system_stayed_positive_but_loss
601212.SH,白银有色,2026-01-30,2026-02-04,5,200,13.69,11.09,-520.0,-0.1899,defense_first,stand_aside,exit_on_invalidation,100,83,0.6298,0.213,invalid,contract,显著强于基准,79.98,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,75,0.8426,0.3403,valid,expand,与基准大体同步,109.26,0.0,True,False,False,True,False,other
